date,text
05/04/2012 01:44,FIRST U.S. COVID-19 VACCINATIONS TODAY 🙌🏻 Thank you to everyone stepping up and getting it.  #CovidVaccine… https://t.co/mAdfhhQQhS
11/05/2009 19:13,"#AnitaQuidangen, a personal support worker in #Toronto, became one of the first people in #Canada to receive a… https://t.co/bgbOIL12Hp"
22/06/2015 18:41,"The state is supposed to get 35,100 doses total of the #PfizerBioNTech vaccine this week.
The remained 30,225 will… https://t.co/c8wzudbpUT"
20/03/2009 03:11,"#OrangeCounty will get 25K doses of  #PfizerBioNTech Vaccine by Wednesday Dec. 15, @ochealth confirms. 

https://t.co/ma71oNZu6w"
22/06/2015 18:41,"#BREAKING - just in from @OHAOregon on #COVID19 #vaccine:
-""Legacy Health is the first registered COVID-19 vaccine… https://t.co/bUnTxDGqzZ"
06/10/2014 04:28,"@asifintoronto @ctvqp 🙋🏼‍♀️ Ruh-roh, Anita, I (also) saw/heard Michelle Rempel suggest -- during #QP, in the House… https://t.co/KdH4QIrR4T"
09/02/2009 17:40,KFDM’s/FOX 4’s @THEPAIGEREPORT1 is at Baptist hospital getting a first hand look at where the Pfizer COVID-19 vacci… https://t.co/aPCqxD5wIA
13/11/2020 07:28,Canadian PM Justin Trudeau announced the arrival of the first of the vaccine vials in the country. #BioNTech #PfizerBioNTech
03/07/2009 18:47,Privileged be offered the #PfizerBioNTech vaccine. I would encourage everyone to take it up. It’ll help protect peo… https://t.co/GSuAZ6F5YT
10/06/2011 11:54,"One of the first vaccines receivers in the US. Momentous for science. Hope has arrived.
#COVID19 #CovidVaccine… https://t.co/R3837E9SWS"
24/11/2012 04:14,Half way there #COVID19 #CovidVaccine #vaccination #Pfizervaccine #PfizerBioNTech https://t.co/fQOSDAGOWD
22/05/2011 07:58,"Can’t wait to take my kids towards herd immunity 🐑 🐑 🥳🥳
#vaccines #PfizerBioNTech https://t.co/IittbUgeNo"
10/10/2009 11:19,"Toronto to receive Ontario's 1st doses of Pfizer COVID-19 vaccine today
https://t.co/Tt7qxCQqDY
#Ontario… https://t.co/vacMDknWAV"
02/12/2013 20:20,"There is some good news: The first doses of the #PfizerBioNTech vaccine arrived in California last night.

Gov. Gav… https://t.co/cB3p7CivgW"
07/10/2020 20:38,WHERE IS THE PANDEMIC ? #PCRGATE #Condemic #BillGatesIsNotADoctor #PfizerBioNTech #Moderna #AstraZeneca… https://t.co/4I7rhvI5es
29/11/2020 06:20,Make vaccine companies liable again... #PfizerBioNTech  #pfizer #johnsonandtoxin #vaccinesarepoison… https://t.co/gJC3BMYrKm
23/08/2019 01:54,"The FDA Authorizes Emergency Use Of The Pfizer Vaccine
https://t.co/fqJizE0AQY
#PFE #Pfizer #Pfizervaccine… https://t.co/xvD26pXMkI"
28/03/2009 02:43,"@katejulien @TheresaLubowitz Supervising. 

I’m torn between politicians going first(ish) to show how important is,… https://t.co/miwZqf1p6y"
14/01/2018 23:15,"#PfizerBioNTech  Just wondering, has every Pfizer employee all the way to the boardroom been vaccinated yet?"
06/10/2013 21:34,"Last night, the first #COVID19Vaccines arrived in Canada and as we speak, the first of the vaccines are being admin… https://t.co/TxsCWyC58j"
04/02/2019 18:25,Happy Cold Chain Day!  The only way to get a vaccine distributed across the county #coldchain #PfizerBioNTech #industrial #cre
28/04/2017 06:48,Received my first dose of the #CovidVaccine #PfizerBioNTech today. I feel very privileged &amp; lucky to have this to p… https://t.co/1FNuUBzsEu
08/05/2010 13:21,"With several countries including the US and the UK now approving the use of #PfizerBioNTech's #COVID19Vaccine,… https://t.co/yaELVC1xMD"
16/04/2010 00:13,The hospital I work at has received the vaccine. Our IV room made the first five doses to be given in the state. I’… https://t.co/ThiWmslq9j
17/02/2012 04:13,"Last night, @AnitaOakville welcomed the first 30K doses of the #PfizerBioNTech #vaccine to 🇨🇦. Although we have a l… https://t.co/vnYhVS90SU"
24/05/2011 00:23,Historical moment #FirstDose of the #PfizerBioNTech #COVID_19 #Vaccine administered at #UPMC @upmchealthbeat @ Pitt… https://t.co/LyOAkRWWNX
28/05/2014 06:43,#BreakingNews A nurse in New York City on Monday became the first person in the United States to receive the corona… https://t.co/02Mu5HKYs5
27/09/2011 00:35,#UPDATE A nurse in New York City on Monday became the first person in the United States to receive the coronavirus… https://t.co/N4j8xorUzO
14/08/2016 23:21,#NEW: @methodistdallas has received its first shipment of #PfizerBioNTech's #COVID19 vaccine. Front line healthcare… https://t.co/OX3BOu8ana
31/01/2013 05:43,It’s kind of surreal that the vaccine is dropping today #PfizerBioNTech
14/09/2020 02:18,"Coronavirus vaccine ships today, expect hospitals to be overwhelmed in nine  months  ...with baby deliveries 😁… https://t.co/CIhIpKoD0I"
25/10/2019 05:28,"Per the CDC, persons with HIV and other immunocompromising conditions may still receive the COVID-19 vaccine unless… https://t.co/vjgKYxb8il"
07/02/2020 14:42,@realDonaldTrump I'm not graveling at the feet of someone who has killed over 290K USA. I appreciate the #scientist… https://t.co/dMLtO98QDq
16/04/2009 10:44,If science is same everywhere so should be it's results. Entire world should approve vaccine which one country has… https://t.co/YFCj0YtZHq
14/08/2016 23:21,President Trump says the first #PfizerBioNTech #COVID19 vaccine in the United States has been administered. https://t.co/c4AIbXNRMz
30/01/2010 15:11,"1st doses of #PfizerBioNTech's #COVID19 vaccine arrive in #Canada🙏🙏🙏

By @helloryanjones
https://t.co/g97stUTAPK https://t.co/Mdx5EON2N3"
18/08/2015 09:59,"#UPS, #FedEx To Transport Initial #PfizerBioNTech #COVID19Vaccine Doses 

$UPS $FDX

https://t.co/78l2X40fPL"
11/02/2013 20:58,#New Vaccination campaign begins today in Quebec. Residents at Maimonides will be among the first seniors in… https://t.co/kJQv5NbPQ9
14/11/2019 09:53,"Kudos UPS!

@UPS announced on 13th, its involvement &amp; full support of distribution efforts for #PfizerBioNTech's… https://t.co/PBQgKMnVtz"
15/08/2010 10:10,From Tuna #Fish To #COVID19 #Vaccine - How Container Freezers Used To Ship #Seafood Are Given A New Role -… https://t.co/gzedPMk8fN
15/12/2017 19:16,"The end is in sight, many of my coworkers and I are getting our first doses of the #PfizerBioNTech #CovidVaccine to… https://t.co/ZnUexwudiz"
10/08/2013 13:01,Pfizer received emergency use authorization from the Food and Drug Administration for the Covid-19 vaccine develope… https://t.co/BD8vRoaRPk
12/01/2013 21:31,Thank you Thank you Thank you to all of the scientists who worked on the development of the vaccine for COVID-19. T… https://t.co/GQib0ENDtH
28/01/2012 10:34,WELL DONE USA 🇺🇲👍 #PfizerBioNTech #Pfizervaccine #COVID19 https://t.co/iR68dndGrs
01/12/2010 17:49,"Sunday evening’s shipment is the first of an initial 30,000 doses of the Pfizer vaccine to be spread across 14 dist… https://t.co/thTxobuI11"
11/02/2013 20:58,#WATCH: Shipments of initial doses of the COVID-19 vaccines arrived in selected ports of entry in Canada on Sunday… https://t.co/d3koIEm6vU
07/02/2017 05:41,"#Singapore Approves Pfizer #COVID19 Vaccine, First Shipment Expected by End of #December, Says PM Lee Hsien Loong… https://t.co/KkamVtF4TW"
05/12/2014 10:10,Here are the lipids used in lipid nanoparticle used the #mRNA  BioNTech/Pfizer #PfizerBioNTech  #CovidVaccine The t… https://t.co/0zMNPzZxjE
03/11/2014 07:43,Canada to begin #PfizerBioNTech #Covid19Vaccine roll-out https://t.co/GfunFFpzF1
02/10/2014 20:07,"More approvals to #PfizerBioNTech vaccine: #Singapore approves @pfizer #CovidVaccine, expects first shots by Decemb… https://t.co/fXYyeHXQTf"
01/06/2010 21:30,First Pfizer coronavirus vaccine doses set to arrive at hospitals https://t.co/DyaXNPTR0l #PfizerBioNTech… https://t.co/8LcRwWPBXv
07/06/2012 14:25,"vaccinated. More than 1.1 million new cases have been confirmed in the past week and the death toll is above 306,00… https://t.co/gLvVfGEKEi"
07/06/2012 14:25,"US HEALTH CARE WORKERS &amp; MOST VULNERABLE TO RECEIVE THE PFIZER-BIONTECH SHOTS
Trucks on Sunday began shipping milli… https://t.co/4AAgDXqvsU"
27/12/2018 15:15,@sammwittings Oh great - thought you wouldnt be able to see her before Xmas - btw I heard on the radio that Shropsh… https://t.co/DWeYPMXCzN
14/08/2016 23:21,#PfizerBioNTech's #COVID19 vaccines are making their way to distributions sites nationwide. @FedEx says some of the… https://t.co/cM5YwBod55
13/09/2019 05:50,US is all set to start its #COVID19  #vaccination  drive with the doses of #PfizerBioNTech  #vaccine that is ready… https://t.co/iClQaqEBBU
27/09/2009 08:54,#Singapore became on Monday the first Asian country to approve #PfizerBioNTech's #CoronavirusVaccine and said it ex… https://t.co/f6TwAm3NrO
08/01/2010 15:36,"Singapore approves Pfizer vaccine , becomes first south East Asian country to approve the vaccine. Doses will be gi… https://t.co/XBs7pR0GU4"
26/11/2008 21:07,#PfizerBioNTech COVID-19 vaccine being distributed; #ElectoralCollege formally casts votes today; #DetroitLions los… https://t.co/steoPO9yEe
22/11/2011 12:09,#BillGates  caught on video admitting #CovidVaccine  will CHANGE our #DNA  FOREVER. https://t.co/PPzAGwLYPu via… https://t.co/wBJH3LpstH
16/06/2008 16:10,"#Singapore approves #PfizerBioNTech #VirusVaccine https://t.co/9vjLXMrGyw 

#Pandemic"
30/11/2013 01:40,"Excited about tomorrow 
So honoured to be part to this exciting team administering in primary care #Covid_19… https://t.co/gWDTDMGoF0"
22/11/2011 12:09,@LUDOVICOTODINI @Taxistalobbyst   caught on video admitting #Covidvaccine will CHANGE our #DNA FOREVER.… https://t.co/AgM4DZSyjt
06/08/2011 16:18,Who should not get vaccine ...yet https://t.co/kuIwEyz7yV via @YouTube #vaccine #MaskUp  #Pfizer #Pfizervaccine #PfizerBioNTech
16/06/2008 16:10,"#Canada to begin #PfizerBioNTech #Covid19Vaccine roll-out https://t.co/sZkFQLldPN 

#Pandemic"
19/08/2014 03:12,"#Singapore approves the #PfizerBioNTech #COVID-19 #vaccine 
First shipment expected by end-December 

#coronavirus… https://t.co/37Y6FRnFzX"
11/11/2016 17:24,"@GOPChairwoman @GOP @realDonaldTrump #PfizerBioNTech 
Thank you #DrSahin &amp; Team https://t.co/edzMSP6Kvc"
31/01/2012 10:22,U.S. expects to have immunized 100 million against #COVID-19 by end of March -Slaoui https://t.co/810e0oDL2I… https://t.co/gQsJ67k95P
03/12/2020 01:19,"Singapore's plan to tackle #COVID19
has been really effective.  
Early in pandemic,more than $1 bn was set aside fo… https://t.co/aWI7CPS81B"
26/03/2009 00:32,"Singapore approves @pfizer @BioNTech_Group  vaccine for local use. Vaccine safe to use on people aged 16 and above,… https://t.co/We7ap3vnAG"
25/01/2015 10:00,"Phase 3 begins Dec 28, #PfizerBioNTech vaccine first to arrive in #singapore by end Dec, and shots to be free for a… https://t.co/wfFjjKR15V"
11/11/2016 17:24,"@realDonaldTrump World🌏 
Thank  you #PfizerBioNTech 
#DrSahin &amp; Team https://t.co/rBp6Ox1lts"
21/02/2017 23:52,Does this vaccine mean that I’m gonna have to eventually wear a proper bra again or are we all in agreement that un… https://t.co/roDsrp1MzS
29/09/2010 08:17,US began shipments of #Covid19 #PfizerBioNTech #vaccine Sunday following final CDC approval. While #pandemic is far… https://t.co/AwDK69gkJB
29/04/2014 07:15,"True question for #scientists:

As with many vaccines the #PfizerBioNTech vaccine needs to be given in 2 shots: a… https://t.co/C9E1Q1mHJ9"
29/11/2017 21:48,The first few million #PfizerBioNtech #vaccines have arrived in the US after a last-minute #emergencyauthorization… https://t.co/lKgaRoGiTg
13/01/2019 18:33,"#DonaldTrump and #MikePence to be offered the recently authorized #PfizerBioNTech vaccine

https://t.co/QVBjcEIlY2"
04/03/2009 16:20,"#Pfizervaccine is unlikely to be available in India for mass distribution. Read to find out why.

#PfizerBioNTech… https://t.co/2ywdDnR70w"
20/03/2013 14:48,The #US is set to begin its coronavirus vaccination drive from today with doses of #PfizerBioNTech’s vaccine set to… https://t.co/g0fkVA3cxI
29/03/2020 10:38,"Politico.  December 13, 2020.  FDA's Hahn: Covid-19 vaccine authorization based in 'science and data'… https://t.co/NwLfLopRXo"
10/09/2019 08:33,"Politico.  December 13, 2020.  FDA's Hahn: Covid-19 vaccine authorization based in 'science and data'… https://t.co/U4q5A64RGk"
09/04/2012 04:45,"I’m due to get the vaccine on Tuesday, super thrilled!
#Pfizer #PfizerBioNTech #CoronavirusVaccine"
30/07/2011 14:59,#USA to start #vaccination from today! It has according to latest figures maximum #coronavirus cases (over 16.7 mil… https://t.co/jDfA1jqvbs
11/02/2016 09:20,"#COVID #PfizerBioNTech #vaccine  #Pennsylvania
Nursing homes in Pennsylvania prepare for COVID-19 vaccine distribut… https://t.co/mNWsy2EHpU"
16/03/2020 12:21,Vaccines save lives 💯 Hopefully HCW can assuage public fear and anxiety regarding this vaccine 💉 so we can finally… https://t.co/rxuYdYinpz
20/11/2012 18:42,1st doses of #PfizerBioNTech's #COVID19 #vaccine arrive in #Canada https://t.co/PYSZah8tDk
01/04/2013 07:06,"Are politicians #EssentialWorkers? 🤔🤦‍♂️ 

#COVID19 #PfizerBioNTech #CovidVaccine #VaccinesWork #ScienceMatters… https://t.co/XYQQzo8QGF"
10/07/2012 08:32,"""The first batch of doses of Pfizer-BioNTech’s COVID-19 vaccine have arrived in Canada,” PM Trudeau said on Twitter… https://t.co/fdV5qSRLLr"
21/10/2019 13:32,#USA to start #vaccination from today! It has according to latest figures maximum #coronavirus cases (over 16.7 mil… https://t.co/Ywv7QfOOHC
22/05/2013 06:04,Good news!  #PfizerBioNTech vaccines arrived ... other vaccines like #Moderna and #AstraZeneca are also coming. https://t.co/e8wxDoutiw
28/10/2011 09:31,My money is on a Mr. Mark Twain getting the one of the first doses of the #PfizerBioNTech #vaccination in the United States @CalNBC
08/03/2012 18:35,#APT29 aka #CozyBear hacker group suspected of hacking #PfizerBioNTech #IP and now federal agencies like U.S. Treas… https://t.co/m4DoCVuKOv
16/05/2010 23:53,"Pfizer-BioNTech’s COVID19 vaccine is also urgently needed for Africa: #Ghana, #Nigeria, #Egypt, #SouthAfrica &amp; rest… https://t.co/93G9dkM0Pb"
23/05/2015 18:02,There it comes . #Covid_19 #PfizerBioNTech https://t.co/RO2IsNOOOU
19/04/2011 19:04,@realDonaldTrump Might as well call it 100 years ahead #LiarInChief you had nothing to do with the #PfizerCovidVaccine #PfizerBioNTech
28/07/2014 13:32,"@pash22 @CDCgov @caseymross Interesting approach 🇺🇲 

🇬🇧 guidance v clear now:

""Any person with a history of anaph… https://t.co/jblkV7DsaT"
07/02/2017 05:41,"Pfizer-BioNTech COVID-19 Vaccine: Donald Trump, Mike Pence &amp; Top US Officials to be Offered Early Access to Newly A… https://t.co/aLJntRiBfA"
08/03/2012 18:35,"#PfizerBioNTech #Vaccine hacked a few days ago

#UsTreasury hack announced today. 

https://t.co/y1YbMXoC6g

A whol… https://t.co/NJbT0gqXPj"
07/11/2018 23:35,Be safe and thank you @FedEx !!!👍 #vaccine #FedEx #PfizerBioNTech #Pfizer https://t.co/WkmafScUlJ
06/10/2014 04:28,"@RainArtChik And we're nowhere near 2030.

Premature innoculation...?  😇

#PfizerBioNTech 
#CdnPoli"
13/04/2020 11:13,"#HarHarMahadev 🙏
First batch of doses of #Pfizer #BioNTech vaccines are in #Canada ......YAY many congratulations 🙏… https://t.co/JhSK49pKzS"
